No.,SD#,Date,Description,Part Number,Serial Number,Item Condition,Unit Value,Qty,Unit,Total,Origin,Destination,Remark
55,2174/SD/SPR/2059,29-Oct-16,DME KN62A,066-1088-00,7235,Serviceable,1,1,EA,1,WISNU,SOLO,
56,2174/SD/SPR/2060,29-Oct-16,HORN ASSY STALL WARMING,0713348-1,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
57,2174/SD/SPR/2061,12-Oct-16,MAIN TYRE,606C66-8,50952104,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
58,2174/SD/SPR/2062,12-Oct-16,BRAKE MASTER CYLINDER,9882010-7,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
59,2174/SD/SPR/2063,12-Oct-16,O RING,MS28775-110,N/A,Serviceable,1,3,EA,3,WISNU,BANYUWANGI,
60,2174/SD/SPR/2064,12-Oct-16,RING,S16280110,N/A,Serviceable,1,3,EA,3,WISNU,BANYUWANGI,
61,2174/SD/SPR/2065,11-Oct-16,DME KN62A,066-1088-00,16161,Serviceable,1,1,EA,1,WISNU,SOLO,
62,2174/SD/SPR/2066,11-Oct-16,BATTERY,G243D,G02903023,Serviceable,1,1,EA,1,WISNU,SOLO,
63,2174/SD/SPR/2067,14-Oct-16,FLAP ROLLER SERVICE KIT,MCSK100,N/A,Serviceable,1,2,EA,2,WISNU,BANYUWANGI,
64,2174/SD/SPR/2068,14-Oct-16,RAPCO BRAKE RIVET,10-02065,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
65,2174/SD/SPR/2069,14-Oct-16,TRANSPONDER,066-01156-0101,14159,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
66,2174/SD/SPR/2070,14-Oct-16,RIVET,105-00200,N/A,Serviceable,1,50,EA,50,WISNU,BANYUWANGI,
67,2174/SD/SPR/2071,14-Oct-16,NUT,MS1045-3,N/A,Serviceable,1,10,EA,10,WISNU,BANYUWANGI,
68,2174/SD/SPR/2072,14-Oct-16,MOUNT COWL,J7444-42,N/A,Serviceable,1,3,EA,3,WISNU,BANYUWANGI,
69,2174/SD/SPR/2073,14-Oct-16,FOAM FILLED EAR SEALS,18316G-02,N/A,Serviceable,1,4,EA,4,WISNU,BANYUWANGI,
70,2174/SD/SPR/2074,14-Oct-16,BRAKE  ASSY,30-75A,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
71,2174/SD/SPR/2075,14-Oct-16,BATTERY,G243D,G02897913,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
72,2174/SD/SPR/2076,4-Nov-16,LOOP L-346Q,41000,39101,Serviceable,1,1,EA,1,WISNU,SOLO,
73,2174/SD/SPR/2077,4-Nov-16,ADF300,41240-0001,34025,Serviceable,1,1,EA,1,WISNU,SOLO,
74,2174/SD/SPR/2078,4-Nov-16,FUEL CAP,C156003-0101,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
75,2174/SD/SPR/2079,5-Oct-16,IGNITION SWTICH,C292501-0109,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,ex PK-ROF
76,2174/SD/SPR/2080,5-Oct-16,PIN,MS20392-2C15,N/A,Serviceable,1,2,EA,2,WISNU,BANYUWANGI,
77,2174/SD/SPR/2081,5-Oct-16,LINK,0511336-1,N/A,Serviceable,1,2,EA,2,WISNU,BANYUWANGI,
78,2174/SD/SPR/2082,5-Oct-16,BELLCRANK,411563,N/A,Serviceable,1,2,EA,2,WISNU,BANYUWANGI,
79,2174/SD/SPR/2083,1-Oct-16,ADF300,41240-0001,34742,Serviceable,1,1,EA,1,WISNU,SOLO,
80,2174/SD/SPR/2084,1-Oct-16,DME KN62A,066-1068-00,11620,Serviceable,1,1,EA,1,WISNU,SOLO,
81,2174/SD/SPR/2085,3-Oct-16,LOCKING WIRE,0.32,N/A,Serviceable,1,1,ROLL,1,WISNU,BANYUWANGI,
82,2174/SD/SPR/2086,3-Oct-16,TRANSPONDER,066-01156-0101,5520,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
83,2174/SD/SPR/2087,3-Oct-16,OIL ENGINE,ASW100+,N/A,Serviceable,1,120,LITER,120,WISNU,BANYUWANGI,
84,2174/SD/SPR/2088,3-Oct-16,NOSE TYRE,505C61-8,52382239,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
85,2174/SD/SPR/2089,3-Oct-16,MAIN TYRE,606C66-8,51782134,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
86,2174/SD/SPR/2090,3-Oct-16,MAIN TYRE,606C66-8,509521012,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
87,2174/SD/SPR/2091,3-Oct-16,MAIN TYRE,606C66-8,51792107,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
88,2174/SD/SPR/2092,3-Oct-16,OIL FILTER,CH48110-1,N/A,Serviceable,1,12,EA,12,WISNU,BANYUWANGI,
89,2174/SD/SPR/2093,3-Oct-16,LPS 3,316,N/A,Serviceable,1,3,EA,3,WISNU,BANYUWANGI,
90,2174/SD/SPR/2094,3-Oct-16,GASKET INTAKE,71973,N/A,Serviceable,1,10,EA,10,WISNU,BANYUWANGI,
91,2174/SD/SPR/2095,3-Oct-16,GREASE SEAL WHEEL,153-01500,N/A,Serviceable,1,3,EA,3,WISNU,BANYUWANGI,
92,2174/SD/SPR/2096,3-Oct-16,BATTERY,G243D,G02897912,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
93,2174/SD/SPR/2097,3-Oct-16,SWITCH PTT,S2870-1,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
94,2174/SD/SPR/2098,6-Oct-16,GNS430,011-00280-10,97135453,Serviceable,1,1,EA,1,WISNU,LOMBOK,
95,2174/SD/SPR/2099,3-Oct-16,AFT SIDE WINDOW,P6515027-22,N/A,Serviceable,1,1,EA,1,WISNU,BANYUWANGI,
96,2174/SD/SPR/2100,1-Oct-16,IGNITION SWTICH,C292501-0109,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
97,2174/SD/SPR/2101,4-Nov-16,MAGNETO DUAL,10-682555-13R,E-02366,Serviceable,1,1,EA,1,WISNU,LOMBOK,
98,2174/SD/SPR/2102,4-Nov-16,MAGNETO DUAL,10-682555-13R,E-032555-16R,Serviceable,1,1,EA,1,WISNU,LOMBOK,
99,2174/SD/SPR/2103,4-Nov-16,O RING,MS28775-222,N/A,Serviceable,1,1,EA,1,WISNU,LOMBOK,
100,2174/SD/SPR/2104,4-Nov-16,SPARK PLUG,RHB32E,N/A,Serviceable,1,14,EA,14,WISNU,LOMBOK,
101,2174/SD/SPR/2105,4-Nov-16,STARTER,149-LN,FN-22916111,Serviceable,1,1,EA,1,WISNU,LOMBOK,
102,2174/SD/SPR/2106,4-Nov-16,VACUMP PUMP,212CW,166539,Serviceable,1,1,EA,1,WISNU,LOMBOK,
103,2174/SD/SPR/2107,4-Nov-16,VACUMP PUMP,211CC,165988,Serviceable,1,1,EA,1,WISNU,LOMBOK,
104,2174/SD/SPR/2108,1-Oct-16,OIL FILTER,CH48110-1,N/A,Serviceable,1,12,EA,12,WISNU,SOLO,
105,2174/SD/SPR/2109,1-Oct-16,NUT BK,0413613-1-279,N/A,Serviceable,1,5,EA,5,WISNU,SOLO,
106,2174/SD/SPR/2110,1-Oct-16,MICROPHON PLUG,SWC480X,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
107,2174/SD/SPR/2111,1-Oct-16,MAGNETO,4371,16030331,Serviceable,1,1,EA,1,WISNU,SOLO,
108,2174/SD/SPR/2112,1-Oct-16,GASKET,75906,N/A,Serviceable,1,5,EA,5,WISNU,SOLO,
109,2174/SD/SPR/2113,1-Oct-16,FOAM FILLED EAR SEALS,18316G-02,N/A,Serviceable,1,2,EA,2,WISNU,SOLO,
110,2174/SD/SPR/2114,1-Oct-16,BELT ALTERNATOR,37A19773-376,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
111,2174/SD/SPR/2115,1-Oct-16,AIR FILTER,BA6108,N/A,Serviceable,1,10,EA,10,WISNU,SOLO,
112,2174/SD/SPR/2116,1-Oct-16,VACUMP FILTER,AAD9-18-1,N/A,Serviceable,1,3,EA,3,WISNU,SOLO,
113,2174/SD/SPR/2117,1-Oct-16,OIL ENGINE,ASW100+,N/A,Serviceable,1,120,LITER,120,WISNU,SOLO,
114,2174/SD/SPR/2118,1-Oct-16,WHELLEN LED LANDING LIGHT 28V(S/C),01-0771833-20,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
115,2174/SD/SPR/2119,1-Oct-16,MAIN TYRE,606C66-8,50952105,Serviceable,1,1,EA,1,WISNU,SOLO,
116,2174/SD/SPR/2120,1-Oct-16,SPARK PLUG,REM40E,N/A,Serviceable,1,12,EA,12,WISNU,SOLO,
117,2174/SD/SPR/2121,1-Oct-16,RIVET,105-00200,N/A,Serviceable,1,18,EA,18,WISNU,SOLO,
118,2174/SD/SPR/2122,1-Oct-16,PLUG PHONE,PJO55B,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
119,2174/SD/SPR/2123,1-Oct-16,PACKING,MS28775-224,N/A,Serviceable,1,2,EA,2,WISNU,SOLO,
120,2174/SD/SPR/2124,1-Oct-16,O RING,MS28775-228,N/A,Serviceable,1,8,EA,8,WISNU,SOLO,
121,2174/SD/SPR/2125,1-Oct-16,O RING,MS28775-225,N/A,Serviceable,1,2,EA,2,WISNU,SOLO,
122,2174/SD/SPR/2126,1-Oct-16,O RING,MS28775-222,N/A,Serviceable,1,6,EA,6,WISNU,SOLO,
123,2174/SD/SPR/2127,1-Oct-16,GASKET INTAKE,71973,N/A,Serviceable,1,2,EA,2,WISNU,SOLO,
124,2174/SD/SPR/2128,1-Oct-16,GARTER FILTER,ARB3-5-1,N/A,Serviceable,1,14,EA,14,WISNU,SOLO,
125,2174/SD/SPR/2129,1-Oct-16,BREARING SEAL,154-13000,N/A,Serviceable,1,6,EA,6,WISNU,SOLO,
126,2174/SD/SPR/2130,1-Oct-16,BRAKE LINNING,073-30026,N/A,Serviceable,1,17,EA,17,WISNU,SOLO,
127,2174/SD/SPR/2131,1-Oct-16,RAPCO BRAKE RIVET,10-02065,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
128,2174/SD/SPR/2132,1-Oct-16,FILTER ELEMENT (FUEL),OS-51288,N/A,Serviceable,1,1,EA,1,WISNU,SOLO,
129,2174/SD/SPR/2133,5-Oct-16,GARTER FILTER,ARB3-5-1,N/A,Serviceable,1,10,EA,10,WISNU,BANYUWANGI,
130,2174/SD/SPR/2134,5-Oct-16,COTTER PIN,MS24665-360,N/A,Serviceable,1,20,EA,20,WISNU,BANYUWANGI,
131,2174/SD/SPR/2135,5-Oct-16,MOUNT COWL,J7444-42,N/A,Serviceable,1,2,EA,2,WISNU,BANYUWANGI,
132,2174/SD/SPR/2136,5-Oct-16,LOCKING WIRE,0.32,N/A,Serviceable,1,1,ROLL,1,WISNU,BANYUWANGI,
133,2174/SD/SPR/2137,5-Oct-16,AIR FILTER,BA6108,N/A,Serviceable,1,10,EA,10,WISNU,BANYUWANGI,
134,2174/SD/SPR/2138,5-Oct-16,SPARK PLUG,REM40E,N/A,Serviceable,1,12,EA,12,WISNU,BANYUWANGI,
135,2174/SD/SPR/2139,5-Sep-16,CONTROL TH,252-085-1,N/A,Serviceable,1,1,EA,1,WISNU,LOMBOK,
136,2174/SD/SPR/2140,5-Sep-16,CARBURETOR,10-5217RPD,BL2714582,Serviceable,1,1,EA,1,WISNU,LOMBOK,
137,2174/SD/SPR/2141,5-Sep-16,HOSE,R221612,N/A,Serviceable,75,75,CM,"5,625.00",WISNU,LOMBOK,Centimeter
138,2174/SD/SPR/2142,5-Oct-16,MULTI PURPOSE FLUID (AEROSHELL FLUID 3),MIL-PRF-7870,N/A,Serviceable,1,1,LITER,1,WISNU,BANYUWANGI,
