GROUP,DESCRIPTION,P/N,ALT P/N,S/N,MIN QTY,UNIT,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
COP,ROD END ASSY,89307-000,,N/A,,EA,Serviceable,,G3,4,,1383/GRN/ME/2016,AVION LOGISTICS,29-Nov-16,BOBBY,POM1135,INV/970012357,DHL#3318462825,,
REP,LIFE VEST,P0723E105P,,9111130009,,EA,Serviceable,,B1-1,1,,1564/GRN/SPR/2016,N/A,26-Nov-16,BOBBY,N/A,N/A,N/A,,
REP,LIFE VEST,102MK3,,18839-11/086,,EA,Serviceable,,B1-1,1,,1564/GRN/SPR/2016,N/A,26-Nov-16,BOBBY,N/A,N/A,N/A,,
REP,FIREX,FE-10P,,N/A,,EA,Serviceable,,F4,1,,1563/GRN/SPR/2016,N/A,25-Nov-16,BOBBY,N/A,N/A,N/A,,
COP,BOLT,AN175-22A,,N/A,,EA,Serviceable,,G1,20,,1383/GRN/ME/2016,AVIALL PTE LTD,25-Nov-16,BOBBY,POM1133,INV/9304698602,DHL#9483441671,,
COP,VALVE,492-303,,N/A,,EA,Serviceable,,G3,1,,1383/GRN/ME/2016,AVIALL PTE LTD,25-Nov-16,BOBBY,POM1133,INV/9304698602,DHL#9483441671,,
COP,WASHER,NAS1149F0532P,,N/A,,EA,Serviceable,,G3,200,,1562/GRN/SPR/2016,AVIALL PTE LTD,25-Nov-16,BOBBY,POM1133,INV/9304698602,DHL#9483441671,,
COP,ROD ASSY,62764-800,,N/A,,EA,Serviceable,,G1,2,,1383/GRN/ME/2016,AVIALL PTE LTD,25-Nov-16,BOBBY,POM1129,INV/9304733812,DHL#1867146245,,
COP,VOLTAGE REGULATOR,R25-400,,T05281,,EA,Serviceable,,E4,1,,1560/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
REP,AIR BOX,0552164-4,,N/A,,EA,Serviceable,,D1,1,,1559/GRN/SPR/2016,N/A,22-Nov-16,BOBBY,N/A,N/A,N/A,,
