GROUP,DESCRIPTION,Part Number,ALT P/N,Serial Number,MIN QTY,Unit,CONDITION,WAREHOUSE,STORES,QTY,EXPIRED DATE,GRN NO,VENDOR,RECEIVED DATE,RECEIVED BY,ORDER NUMBER,REFERENCE NUMBER,AWB NUMBER,REMARK,UNIT VALUE
CONSUMABLE PART,BATTERAY 12 V,G 35,,G02843090,0,EA,,WISNU,G1-1,1,,,,,,,,,,0
CONSUMABLE PART,BATTERAY 12 V,G 35,,G02844464,0,EA,,WISNU,G1-1,1,,,,,,,,,,0
CONSUMABLE PART,BATTERAY 12 V,G 35,,G02844465,0,EA,,WISNU,G1-1,1,,,,,,,,,,0
CONSUMABLE PART,BATTERAY 12 V,G 35,,G02844484,0,EA,,WISNU,G1-1,1,,,,,,,,,,0
CONSUMABLE PART,BATTERY,CR123A,,,0,EA,,WISNU,C2-2,8,,,,,,,,,,0
CONSUMABLE PART,BATTERY,G243,,G02903025,0,EA,,WISNU,I5-2,1,,,,,,,,,,0
CONSUMABLE PART,BATTERY,G243,,G02903028,0,EA,,WISNU,I5-2,1,,,,,,,,,,0
CONSUMABLE PART,BATTERY,G243D,,G02897912,0,EA,,WISNU,WISNU,0,,,,,,,,,,0
CONSUMABLE PART,BATTERY,G243D,,G02897913,0,EA,,WISNU,WISNU,0,,,,,,,,,,0
CONSUMABLE PART,BATTERY,G243D,,G02903023,0,EA,,WISNU,WISNU,0,,,,,,,,,,0
CONSUMABLE PART,BATTERY,G243D,,G02903024,0,EA,,WISNU,WISNU,1,,,,,,,,,,0
CONSUMABLE PART,BATTERY,G243D,,G02909251,0,EA,,WISNU,WISNU,0,,,,,,,,,,0
CONSUMABLE PART,BATTERY,G243D,,G02909267,0,EA,,WISNU,WISNU,0,,,,,,,,,,0
CONSUMABLE PART,BATTERY CONTACTOR,S1580-1,,,0,EA,,WISNU,C3-1,2,,,,,,,,,,0
CONSUMABLE PART,BATTERY CONTACTOR,S1580-1,,,0,EA,,WISNU,QUARANTINE,0,,,,,,,,,,0
CONSUMABLE PART,BATTERY ELT 406,452-6499,,366039-076,0,EA,,WISNU,C3-1,0,,,,,,,,,,0
CONSUMABLE PART,BATTERY ELT 406,452-6499,,367876-062,0,EA,,WISNU,C3-1,0,,,,,,,,,,0
CONSUMABLE PART,BEARING,08125-20629,,,0,EA,,WISNU,A3-21,4,,,,,,,,,,0
CONSUMABLE PART,BEARING,13889-20629,,,0,EA,,WISNU,A3-21,13,,,,,,,,,,0
CONSUMABLE PART,BEARING,13889-2069,,,0,EA,,WISNU,A3-21,6,,,,,,,,,,0
