No.,MS#,MS Date,Aircraft,Description,Part Number,Serial Number,Qty,Unit,Warehouse,Stores,Req. Reference,Remark
"1,143",3942/MS/SPR/2016,22-Oct-16,PK-ROO,OIL ENGINE,ASW100+,N/A,3,LITER,WISNU,FLAMABLE ROOM,N/A,
"1,144",3942/MS/SPR/2016,22-Oct-16,PK-ROO,RING,S16280110,N/A,2,EA,WISNU,B3-18,N/A,
"1,145",3942/MS/SPR/2016,22-Oct-16,PK-ROO,O RING,MS28775-110,N/A,2,EA,WISNU,A2-8,N/A,
"1,146",3942/MS/SPR/2016,21-Oct-16,PK-ROO,COTTER PIN,MS24665-134,N/A,4,EA,WISNU,A3-10,N/A,
"1,147",3942/MS/SPR/2016,21-Oct-16,PK-ROO,RING,S16280110,N/A,1,EA,WISNU,B3-18,N/A,
"1,148",3942/MS/SPR/2016,21-Oct-16,PK-ROO,O RING,MS28775-110,N/A,1,EA,WISNU,A2-8,N/A,
"1,149",3942/MS/SPR/2016,21-Oct-16,PK-ROO,PACKING,MS28778-3,N/A,1,EA,WISNU,B3-17,N/A,
"1,150",3942/MS/SPR/2016,6-Dec-16,PK-ROX,FUEL PUMP 12V,1800-A,193669,1,EA,WISNU,G4,N/A,
"1,151",3942/MS/SPR/2016,21-Oct-16,PK-ROO,GASKET INTAKE,71973,N/A,1,EA,WISNU,A4-1,N/A,
"1,152",3942/MS/SPR/2016,21-Oct-16,PK-ROO,OIL ENGINE,ASW100+,N/A,8,LITER,WISNU,FLAMABLE ROOM,N/A,
"1,153",3942/MS/SPR/2016,21-Oct-16,PK-ROO,OIL FILTER,CH48110-1,N/A,1,EA,WISNU,WISNU,N/A,
"1,154",3942/MS/SPR/2016,21-Oct-16,PK-ROV,EGT PROBE,86143,N/A,1,EA,WISNU,G3,N/A,
"1,155",3942/MS/SPR/2016,19-Oct-16,PK-ROA,BOLT,AN4-7A,N/A,2,EA,WISNU,A3-5,N/A,
"1,156",3942/MS/SPR/2016,19-Oct-16,PK-ROP,OIL ENGINE,ASW100+,N/A,8,LITER,WISNU,FLAMABLE ROOM,50 HRS,
"1,157",3942/MS/SPR/2016,19-Oct-16,PK-ROR,OIL FILTER,CH48110-1,N/A,1,EA,WISNU,WISNU,N/A,
"1,158",3942/MS/SPR/2016,19-Oct-16,PK-ROA,SELF LOCKING NUT,MS21044N3,N/A,2,EA,WISNU,A3-3,N/A,
"1,159",3942/MS/SPR/2016,19-Oct-16,PK-ROA,RIVET,MS20470AD3-6,N/A,10,EA,WISNU,D3-13,RIPAER CORVER AIR BOX,
"1,160",3942/MS/SPR/2016,19-Oct-16,PK-ROA,RIVET,MS20426AD3-6,N/A,30,EA,WISNU,D3-12,RIPAER CORNER AIR BOX,
"1,161",3942/MS/SPR/2016,19-Oct-16,PK-ROA,BREARING SEAL,154-13000,N/A,1,EA,WISNU,B3-12,N/A,
"1,162",3942/MS/SPR/2016,19-Oct-16,PK-ROA,GREASE RING,153-00300,N/A,1,EA,WISNU,B3-12,N/A,
"1,163",3942/MS/SPR/2016,19-Oct-16,PK-ROA,OIL ENGINE,ASW100+,N/A,8,LITER,WISNU,FLAMABLE ROOM,200 SP INSP,
"1,164",3942/MS/SPR/2016,19-Oct-16,PK-ROA,GARTER FILTER,ARB3-5-1,N/A,1,EA,WISNU,WISNU,N/A,
"1,165",3942/MS/SPR/2016,19-Oct-16,PK-ROA,AIR FILTER,BA6108,N/A,1,EA,WISNU,WISNU,N/A,
"1,166",3942/MS/SPR/2016,19-Oct-16,PK-ROA,VACUMP FILTER,AAD9-18-1,N/A,1,EA,WISNU,A1-2,N/A,
"1,167",3942/MS/SPR/2016,19-Oct-16,PK-ROA,COTTER PIN,MS24665-360,N/A,2,EA,WISNU,A3-10,N/A,
