"No.","Stores","Warehouse","Category","Description","Last Update"
"107","C3-3","WISNU","SPARE PART","","December 17, 2016"
"108","C3-4","WISNU","SPARE PART","","December 17, 2016"
"109","C3-5","WISNU","SPARE PART","","December 17, 2016"
"110","C4","WISNU","SPARE PART","","December 17, 2016"
"111","C4-1","WISNU","SPARE PART","","December 17, 2016"
"112","C4-2","WISNU","SPARE PART","","December 17, 2016"
"113","C4-3","WISNU","SPARE PART","","December 17, 2016"
"114","C4-4","WISNU","SPARE PART","","December 17, 2016"
"115","C4-5","WISNU","SPARE PART","","December 17, 2016"
"116","C5-1","WISNU","SPARE PART","","December 17, 2016"
"117","CONTAINER","WISNU","SPARE PART","","December 17, 2016"
"118","CUPBOARD DOCUMENT","WISNU","SPARE PART","","December 17, 2016"
"119","D1","WISNU","SPARE PART","","December 17, 2016"
"120","D2","WISNU","SPARE PART","","December 17, 2016"
"121","D2-1","WISNU","SPARE PART","","December 17, 2016"
"122","D2-10","WISNU","SPARE PART","","December 17, 2016"
"123","D2-11","WISNU","SPARE PART","","December 17, 2016"
"124","D2-12","WISNU","SPARE PART","","December 17, 2016"
"125","D2-13","WISNU","SPARE PART","","December 17, 2016"
"126","D2-14","WISNU","SPARE PART","","December 17, 2016"
"127","D2-15","WISNU","SPARE PART","","December 17, 2016"
"128","D2-16","WISNU","SPARE PART","","December 17, 2016"
"129","D2-2","WISNU","SPARE PART","","December 17, 2016"
"130","D2-3","WISNU","SPARE PART","","December 17, 2016"
"131","D2-4","WISNU","SPARE PART","","December 17, 2016"
"132","D2-5","WISNU","SPARE PART","","December 17, 2016"
"133","D2-6","WISNU","SPARE PART","","December 17, 2016"
"134","D2-7","WISNU","SPARE PART","","December 17, 2016"
"135","D2-8","WISNU","SPARE PART","","December 17, 2016"
"136","D2-9","WISNU","SPARE PART","","December 17, 2016"
"137","D3","WISNU","SPARE PART","","December 17, 2016"
"138","D3-1","WISNU","SPARE PART","","December 17, 2016"
"139","D3-10","WISNU","SPARE PART","","December 17, 2016"
"140","D3-11","WISNU","SPARE PART","","December 17, 2016"
"141","D3-12","WISNU","SPARE PART","","December 17, 2016"
"142","D3-13","WISNU","SPARE PART","","December 17, 2016"
"143","D3-14","WISNU","SPARE PART","","December 17, 2016"
"144","D3-15","WISNU","SPARE PART","","December 17, 2016"
"145","D3-2","WISNU","SPARE PART","","December 17, 2016"
"146","D3-3","WISNU","SPARE PART","","December 17, 2016"
"147","D3-4","WISNU","SPARE PART","","December 17, 2016"
"148","D3-5","WISNU","SPARE PART","","December 17, 2016"
"149","D3-6","WISNU","SPARE PART","","December 17, 2016"
"150","D3-7","WISNU","SPARE PART","","December 17, 2016"
"151","D3-8","WISNU","SPARE PART","","December 17, 2016"
"152","D3-9","WISNU","SPARE PART","","December 17, 2016"
"153","D4","WISNU","SPARE PART","","December 17, 2016"
"154","D4-9","WISNU","SPARE PART","","December 17, 2016"
